gID;T;x;y;itemInCraneID
1;1333.0;765;25;2616
1;1383.0;1015;5;2616
1;1457.0;1015;5;null
1;1611.0;245;5;null
1;1621.0;245;5;2601
1;1775.0;1015;5;2601
1;1871.0;1015;5;null
1;2059.0;75;65;null
1;2069.0;75;65;2633
1;2257.0;1015;5;2633
1;2421.0;1015;5;null
1;2587.0;185;55;null
1;2597.0;185;55;2630
1;2763.0;1015;5;2630
1;2839.0;1015;5;null
1;3007.0;175;45;null
1;3017.0;175;45;2621
1;3185.0;1015;5;2621
1;3487.0;1015;5;null
1;3615.0;375;75;null
1;3625.0;375;75;2640
1;3753.0;1015;5;2640
1;3763.0;1015;5;null
1;3837.0;645;75;null
1;3847.0;645;75;2645
1;3921.0;1015;5;2645
1;3931.0;1015;5;null
1;3967.0;835;65;null
1;3977.0;835;65;2637
1;4013.0;1015;5;2637
1;4293.0;1015;5;null
1;4463.0;165;65;null
1;4473.0;165;65;2191
1;4474.0;165;55;2191
1;4484.0;165;55;null
1;4485.0;165;65;null
1;4495.0;165;65;954
1;4496.0;165;55;954
1;4506.0;165;55;null
1;4507.0;165;65;null
1;4517.0;165;65;508
1;4519.0;175;65;508
1;4529.0;175;65;null
1;4531.0;165;65;null
1;4541.0;165;65;266
1;4711.0;1015;5;266
1;4867.0;1015;5;null
1;5003.0;335;45;null
1;5013.0;335;45;1967
1;5149.0;1015;5;1967
1;5159.0;1015;5;null
1;5167.0;975;25;null
1;5177.0;975;25;2306
1;5185.0;1015;5;2306
1;5195.0;1015;5;null
1;5285.0;565;25;null
1;5295.0;565;25;2505
1;5385.0;1015;5;2505
1;5395.0;1015;5;null
1;5413.0;925;15;null
1;5423.0;925;15;1885
1;5425.0;915;15;1885
1;5435.0;915;15;null
1;5437.0;925;15;null
1;5447.0;925;15;1635
1;5448.0;925;5;1635
1;5458.0;925;5;null
1;5459.0;925;15;null
1;5469.0;925;15;1362
1;5487.0;1015;5;1362
1;5651.0;1015;5;null
1;5755.0;495;5;null
1;5765.0;495;5;2596
1;5869.0;1015;5;2596
1;5879.0;1015;5;null
1;5887.0;975;15;null
1;5897.0;975;15;1361
1;5899.0;985;15;1361
1;5909.0;985;15;null
1;5911.0;975;15;null
1;5921.0;975;15;752
1;5929.0;1015;5;752
1;5939.0;1015;5;null
1;5948.0;995;95;null
1;5958.0;995;95;1245
1;5967.0;1015;5;1245
1;5977.0;1015;5;null
1;6115.0;325;45;null
1;6125.0;325;45;2623
1;6263.0;1015;5;2623
1;6439.0;1015;5;null
1;6565.0;385;15;null
1;6575.0;385;15;2436
1;6577.0;395;15;2436
1;6587.0;395;15;null
1;6589.0;385;15;null
1;6599.0;385;15;1415
1;6600.0;385;5;1415
1;6610.0;385;5;null
1;6611.0;385;15;null
1;6621.0;385;15;1226
1;6747.0;1015;5;1226
1;6757.0;1015;5;null
1;6815.0;725;75;null
1;6825.0;725;75;2647
1;6883.0;1015;5;2647
1;6893.0;1015;5;null
1;6905.0;955;45;null
1;6915.0;955;45;1481
1;6927.0;1015;5;1481
1;7173.0;1015;5;null
1;7275.0;505;45;null
1;7285.0;505;45;1868
1;7287.0;495;45;1868
1;7297.0;495;45;null
1;7299.0;505;45;null
1;7309.0;505;45;568
1;7411.0;1015;5;568
1;7529.0;1015;5;null
1;7631.0;505;55;null
1;7641.0;505;55;1865
1;7643.0;495;55;1865
1;7653.0;495;55;null
1;7655.0;505;55;null
1;7665.0;505;55;952
1;7767.0;1015;5;952
1;7819.0;1015;5;null
1;7991.0;155;45;null
1;8001.0;155;45;2620
1;8173.0;1015;5;2620
1;8235.0;1015;5;null
1;8399.0;195;45;null
1;8409.0;195;45;2622
1;8573.0;1015;5;2622
1;8583.0;1015;5;null
1;8613.0;865;15;null
1;8623.0;865;15;2611
1;8653.0;1015;5;2611
1;8777.0;1015;5;null
1;8915.0;325;25;null
1;8925.0;325;25;2612
1;9063.0;1015;5;2612
1;9307.0;1015;5;null
1;9407.0;515;55;null
1;9417.0;515;55;2514
1;9419.0;505;55;2514
1;9429.0;505;55;null
1;9431.0;515;55;null
1;9441.0;515;55;2376
1;9541.0;1015;5;2376
1;9793.0;1015;5;null
1;9991.0;25;65;null
1;10001.0;25;65;2632
1;10199.0;1015;5;2632
1;10209.0;1015;5;null
1;10227.0;925;35;null
1;10237.0;925;35;1443
1;10239.0;915;35;1443
1;10249.0;915;35;null
1;10251.0;925;35;null
1;10261.0;925;35;323
1;10279.0;1015;5;323
1;10289.0;1015;5;null
1;10357.0;675;45;null
1;10367.0;675;45;1116
1;10435.0;1015;5;1116
1;10445.0;1015;5;null
1;10607.0;205;75;null
1;10617.0;205;75;1979
1;10779.0;1015;5;1979
1;10789.0;1015;5;null
1;10881.0;555;35;null
1;10891.0;555;35;1287
1;10892.0;555;25;1287
1;10902.0;555;25;null
1;10903.0;555;35;null
1;10913.0;555;35;471
1;10915.0;545;35;471
1;10925.0;545;35;null
1;10927.0;555;35;null
1;10937.0;555;35;382
1;11029.0;1015;5;382
1;11039.0;1015;5;null
1;11051.0;955;25;null
1;11061.0;955;25;2034
1;11062.0;955;35;2034
1;11072.0;955;35;null
1;11073.0;955;25;null
1;11083.0;955;25;1263
1;11095.0;1015;5;1263
1;11105.0;1015;5;null
1;11237.0;355;15;null
1;11247.0;355;15;2608
1;11379.0;1015;5;2608
1;11389.0;1015;5;null
1;11411.0;905;85;null
1;11421.0;905;85;1167
1;11443.0;1015;5;1167
1;11453.0;1015;5;null
1;11491.0;825;65;null
1;11501.0;825;65;2183
1;11503.0;835;65;2183
1;11513.0;835;65;null
1;11515.0;825;65;null
1;11525.0;825;65;1518
1;11563.0;1015;5;1518
1;11573.0;1015;5;null
1;11739.0;185;5;null
1;11749.0;185;5;2184
1;11751.0;175;5;2184
1;11761.0;175;5;null
1;11763.0;185;5;null
1;11773.0;185;5;1398
1;11775.0;175;5;1398
1;11785.0;175;5;null
1;11787.0;185;5;null
1;11797.0;185;5;1385
1;11963.0;1015;5;1385
1;11973.0;1015;5;null
1;12047.0;645;45;null
1;12057.0;645;45;608
1;12131.0;1015;5;608
1;12141.0;1015;5;null
1;12339.0;25;55;null
1;12349.0;25;55;2477
1;12350.0;25;65;2477
1;12360.0;25;65;null
1;12361.0;25;55;null
1;12371.0;25;55;390
1;12569.0;1015;5;390
1;12579.0;1015;5;null
1;12683.0;495;25;null
1;12693.0;495;25;2504
1;12797.0;1015;5;2504
1;12807.0;1015;5;null
1;13009.0;5;35;null
1;13019.0;5;35;1464
1;13221.0;1015;5;1464
1;13231.0;1015;5;null
1;13271.0;815;55;null
1;13281.0;815;55;1275
1;13321.0;1015;5;1275
1;13331.0;1015;5;null
1;13447.0;435;65;null
1;13457.0;435;65;654
1;13573.0;1015;5;654
1;13583.0;1015;5;null
1;13655.0;655;65;null
1;13665.0;655;65;1278
1;13666.0;655;55;1278
1;13676.0;655;55;null
1;13677.0;655;65;null
1;13687.0;655;65;1060
1;13688.0;655;55;1060
1;13698.0;655;55;null
1;13699.0;655;65;null
1;13709.0;655;65;165
1;13781.0;1015;5;165
1;13791.0;1015;5;null
1;13893.0;505;5;null
1;13903.0;505;5;2602
1;14005.0;1015;5;2602
1;14015.0;1015;5;null
1;14203.0;75;5;null
1;14213.0;75;5;2600
1;14401.0;1015;5;2600
1;14411.0;1015;5;null
